"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-06-30,"Gates","TN",,"Lauderdale",9374,67900,0.0210526315789474,0.116776315789474,0.189141856392294,0.0176908689802597,0.0155344930023524,624,"2009-12","2009-Q4",70500,-0.0368794326241135,"2009-09","1997-01","1997-Q1",42600,-0.395744680851064
2014-06-30,"Keenesburg","CO","Greeley","Weld",9375,190000,0.0101010101010101,0.0259179265658747,0.115023474178404,0.0134754538239237,-0.00156538517893501,601,"2006-05","2006-Q2",200700,-0.0533134030891878,"2003-07","1996-04","1996-Q2",109300,-0.455406078724464
2014-06-30,"Sullivans Island","SC","Charleston","Charleston",9376,1262900,-0.0135135135135135,0.000951097725291274,0.0367785896067646,-0.0147345845700784,0.0318503747235477,917,"2006-10","2006-Q4",1421300,-0.111447266586927,"2005-12","1996-06","1996-Q2",342600,-0.758953071132062
2014-06-30,"Tullytown","PA","Philadelphia","Bucks",9377,190700,-0.00417754569190601,-0.0245524296675192,0.00315623356128353,-0.0185350309750694,0.00708546168246782,563,"2007-04","2007-Q2",220000,-0.133181818181818,"2004-11","1996-04","1996-Q2",100800,-0.541818181818182
2014-06-30,"Reagan","TN",,"Henderson",9378,81300,0.0086848635235732,0.0383141762452107,0.0383141762452107,0.00909930104479262,0.0198385124158358,599,"2012-07","2012-Q3",84900,-0.0424028268551237,"2012-01","1996-04","1996-Q2",51800,-0.389870435806832
2014-06-30,"Venice","IL","St. Louis","Madison",9379,49400,0.0466101694915254,0.0762527233115468,0.0555555555555556,0.000811689380799008,0.0151583750222879,662,"2014-06","2014-Q2",49400,0,"2014-06",,,,
2014-06-30,"Bunn","NC","Raleigh","Franklin",9380,108200,0.0226843100189036,0.0102707749766573,0.0830830830830831,0.0122689054930831,0.0324772035237875,587,"2014-02","2014-Q1",110400,-0.0199275362318841,"2013-12","1996-04","1996-Q2",57800,-0.476449275362319
2014-06-30,"Waveland","IN","Crawfordsville","Montgomery",9381,97400,0.0417112299465241,0.109339407744875,0.18780487804878,0.0451571226953031,-0.00122375569555777,651,"2005-06","2005-Q2",105400,-0.0759013282732448,"2004-06","1996-12","1996-Q4",59900,-0.43168880455408
2014-06-30,"Dowling","MI","Grand Rapids","Barry",9382,122100,0.0243288590604027,0.0729349736379613,0.127423822714681,0.0143574887777544,-0.00439630680569392,915,"2006-10","2006-Q4",145100,-0.158511371467953,"2003-07","1997-06","1997-Q2",80800,-0.443142660234321
2014-06-30,"Western","NY","Utica","Oneida",9383,120100,0.0195246179966044,0.0326741186586414,0.0978062157221207,0.0184658953139443,0.0408178043372651,585,"2014-06","2014-Q2",120100,0,"2014-06",,,,
